question,answer
hello,Hello how can I help you
salam, Salam size näme kömek edip bilerin
привет, Привет чем я могу помочь
здравствуйте, Здравствуй чем я могу помочь
gowumy,Salam mende duýgy ýok men Paýhasly emeli aňy
как дела,Привет у меня нет чувств я заботливый искусственный интеллект
how you,Hello I have no feelings I am a caring artificial intelligence
name edyan,Men size kömek etmäne taýynlanýaryn
näme edýän,Men size kömek etmäne taýynlanýaryn
что делаешь,Я готовлюсь тебе помочь
doing,I am trying to help you
ýokary okuw jaý,19 sany ýokary okuw jaýy bar
yokary okuw jay,19 sany ýokary okuw jaýy bar
университеты,Всего 19 университетов
universities,There are 19 universities
2024-nji ýylyň,PÄHIM-PAÝHAS UMMANY MAGTYMGULY PYRAGY» ÝYLY
2024-nji yylyn,PÄHIM-PAÝHAS UMMANY MAGTYMGULY PYRAGY» ÝYLY
название 2024 года,«ГОД ПИРАГА МАГТИМГУЛИ ИЗ ПИХИМ-ПАИХАС ОМАН».
the name of the year 2024,is "THE YEAR OF THE MAGTYMGULI PIRAGH OF PÄHIM-PAÍHAS OMAN"
name basaryan,Meniň başarnyklarym häzirlikçe çäkli
näme başarýan,Meniň başarnyklarym häzirlikçe çäkli
что умеет,На данный момент мои навыки ограничены
can do,my skills are limited for now
demirýol bilet,Demir ýol biledini online görnüşinde ýörite bellenen "railway.gov.tm" saýtyndan ýa-da "Saraý" ykjam mobil goşundysyndan alyp bilersiňiz
demiryol bilet,Demir ýol biledini online görnüşinde ýörite bellenen "railway.gov.tm" saýtyndan ýa-da "Saraý" ykjam mobil goşundysyndan alyp bilersiňiz
железнодорожный билет,Купить онлайн можно на специализированном сайте "railway.gov.tm" или в мобильном приложении "Сарай"
railway ticket, You can buy online from dedicated website "railway.gov.tm" or "Sarai" mobile application
wi-fi töleg,Wi-fi tölegini online "TMCELL Töleg" mobil goşundusy arkaly tölegi amala aşyryp bilersiňiz
wi-fi toleg,Wi-fi tölegini online "TMCELL Töleg" mobil goşundusy arkaly tölegi amala aşyryp bilersiňiz
оплата Wi-Fi,оплатить Wi-Fi можно онлайн с помощью мобильного приложения "TMCELL Töleg"
wi-fi payment,you can pay for Wi-Fi online using the "TMCELL Payment" mobile application
aragatnaşyk töleg,Islendik aragatnaşyk töleglerini "Çapar" mobil goşundysy arkaly amala aşyryp bilersiňiz
aragatnasyk toleg,Islendik aragatnaşyk töleglerini "Çapar" mobil goşundysy arkaly amala aşyryp bilersiňiz
оплата связи,Вы можете совершать любые платежи за связь через мобильное приложение "Çapar"
communication payment,You can make any communication payments through the "Çapar" mobile application
zagran,Daşary ýurt paspordy üçin ýaş kategoriýalary bar siz menden indiki sözler bilen sorap bilersiňiz:(zagran dokumentlar 16 ýaş; zagran dokumentlar 16-18 ýaş; zagran 18 ýaşdan uly)
загран паспорт,у заграничного паспорта есть несколько категории вы можете спросить у меня следущими словами:(документы Загран 16 лет; документы Загран 16-18 лет; документы Загран старше 18 лет)
oversea passport,oversea passport some categories you can ask with this words(oversea passport documents 16 age; oversea passport documents 16-18 ages; oversea passport upper 18 ages)
zagran dokumentler 16,Zagran üçin gerekli resminalaryň sanawy 16 ýaşa çenli çagalar üçin 1 "1 sany 3x4 ölçegde surat" 2 "Dogluş hakynda şahadatnama" 3 "Hemişelik ýaşaýan ýeri hakynda kepilnama" 4 "Ata-enesiniň nika baglaşandygy ýa-da nikanyň bozulandygy hakynda şahadatnama (nika bozulan ýagdaýynda şol nikanyň baglaşylan senesini tassyklaýan resminama)" 5 "Özüniň ýa-da ata-enesiniň başga ýurda degişliligini tassyklaýan pasport" 6 "Ata-enesiniň Türkmenistanyň raýatynyň pasportlary"
документы загран 16,перечень документов необходимых для Заграна для детей до 16 лет 1 "1 фотография размером 3х4" 2 "Свидетельство о рождении" 3 "Свидетельство о постоянном месте жительства" 4 "Свидетельство о браке или разводе родителей (в случае развода)  документ подтверждающий дату заключения брака)" 5 "Паспорт подтверждающий принадлежность его или его родителей к другой стране" 6 "Паспорта граждан Туркменистана его родителей"
zagran documents 16,list of documents required for Zagran for children under 16 years old 1 "1 3x4 size photo" 2 "Birth certificate" 3 "Certificate of permanent residence" 4 "Certificate of marriage or divorce of parents" (in case of divorce a document confirming the date of marriage)" 5 "Passport confirming that he or his parents belong to another country" 6 "Pasports of Turkmen citizens of his parents"
zagran dokumentler 16-18,Zagran üçin gerekli resminalaryň sanawy 16-18 ýaş aralykda raýatlar üçin 1 "1 sany 3x4 ölçegde surat" 2 "Dogluş hakynda şahadatnama" 3 "Türkmenistanyň raýatynyň pasporty (ýazgydan çykan bolsa ýaşaýan ýeri barada kepilnama)" 4 "Özüniň ýa-da ata-enesiniň başga ýurda degişliligini tassyklaýan pasport (bar bolsa)" 5 "Ýüz tutýan ata-enesiniň biriniň Türkmenistanyň raýatynyň pasporty"
документы на загран 16-18,перечень необходимых документов для заграна для граждан 16-18 лет 1 "1 фотография размером 3х4" 2 "Свидетельство о рождении" 3 "Паспорт гражданина Туркменистана (справка с места жительства если он незарегистрирован)" 4 " Паспорт подтверждающий принадлежность его или его родителей к другой стране (при наличии)" 5 "Паспорт гражданина Туркменистана одного из его родителей"
zagran documents 16-18,"list of required documents for zagran for citizens aged 16-18 1 ""1 3x4 size photo"" 2 ""Birth certificate"" 3 ""Passport of a citizen of Turkmenistan (certificate of residence if it is unregistered)"" 4 "" Passport confirming that he or his parents belong to another country (if any)"" 5 ""Passport of a citizen of Turkmenistan of one of his parents"""
zagran dokumentler 18,Zagran üçin gerekli resminalaryň sanawy 18 ýaşdan uly raýatlar üçin 1 "1 sany 3x4 ölçegde surat" 2 "Dogluş hakynda şahadatnama" 3 "Türkmenistanyň raýatynyň pasporty (ýazgydan çykan bolsa ýaşaýan ýeri barada kepilnama)" 4 "Harby bilet (65 ýaşa çenli)" 5 "Maşgala ýagdaýyny tassyklaýan resminama: "-Nika hakynda şahadatnama;" "-Nikanyň bozulandygy hakynda şahadatnama;" "-Nikada durmaýandygyny tassyklaýan resminama" " 6 "Başga ýurda degişliligini tassyklaýan pasport (bar bolsa)"
документы заграна 18,перечень необходимых документов для граждан Заграна старше 18 лет 1 «1 фотография размером 3х4» 2 «Свидетельство о рождении» 3 «Паспорт гражданина Туркменистана (справка с места жительства если выдан)» 4 «Военный билет ( до 65 лет)" 5 "Документ подтверждающий состояние брака"-Свидетельство подтверждающее расторжение брака
oversea passport documents 18,list of required documents for Zagran citizens over 18 years old 1 "1 3x4 size photo" 2 "Birth certificate" 3 "Passport of a citizen of Turkmenistan (certificate of residence if issued)" 4 "Military ticket ( up to 65 years of age)" 5 "Document confirming the status of marriage; "-Certificate confirming the dissolution of marriage"